Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
WATSON NOEL G,Watson Noel G,Noel,G,Watson,,Noel G Watson ,JEC UN Equity,JACOBS ENGIN GRP,Jacobs Engin Grp,12/18/13,1448145,1.099,-35,63.32
WHITE MILES D,White Miles D,Miles,D,White,,Miles D White ,ABT UN Equity,ABBOTT LABS,Abbott Labs,12/20/13,1428639,0.092,-570,38.87
LAFLEY ALAN GEORGE,Lafley Alan George,Alan,George,Lafley,,Alan George Lafley ,PG UN Equity,PROCTER & GAMBLE,Procter & Gamble,11/15/13,1395454,0.051,#N/A N/A,80.21
SMITH JR DAVID H B,Smith Jr David H B,David,H B,Smith,Jr,David H B Smith Jr,NTRS UW Equity,NORTHERN TRUNT,Northern TrUNt,4/16/13,1387657,0.581,1920,61.79
HICKEY WILLIAM V,Hickey William V,William,V,Hickey,,William V Hickey ,SEE UN Equity,SEALED AIR CORP,Sealed Air Corp,5/16/13,1358744,0.693,3811,33.84
MACDONNELL ROBERT I,Macdonnell Robert I,Robert,I,Macdonnell,,Robert I Macdonnell ,SWY UN Equity,SAFEWAY INC,Safeway Inc,3/23/10,1354504,0.561,#N/A N/A,31.9
STUBBS MICHAEL B,Stubbs Michael B,Michael,B,Stubbs,,Michael B Stubbs ,DOV UN Equity,DOVER CORP,Dover Corp,11/15/13,1330992,0.781,-282857,94.3
ROSENFELD IRENE B,Rosenfeld Irene B,Irene,B,Rosenfeld,,Irene B Rosenfeld ,MDLZ UW Equity,MONDELEZ INTER-A,Mondelez Inter-A,2/22/13,1326132,0.076,-44673,34.64
SACKS RODNEY CYRIL,Sacks Rodney Cyril,Rodney,Cyril,Sacks,,Rodney Cyril Sacks ,MNST UW Equity,MONSTER BEVERAGE,Monster Beverage,1/3/14,1322220,0.789,-200300,69
TEMPLETON RICHARD K,Templeton Richard K,Richard,K,Templeton,,Richard K Templeton ,TXN UW Equity,TEXAS INSTRUMENT,Texas Instrument,11/21/13,1306245,0.119,-71846,43
NICHOLS JOHN LARRY,Nichols John Larry,John,Larry,Nichols,,John Larry Nichols ,DVN UN Equity,DEVON ENERGY CO,Devon Energy Co,12/8/13,1299441,0.32,-10325,61.45
OTELLINI PAUL S,Otellini Paul S,Paul,S,Otellini,,Paul S Otellini ,INTC UW Equity,INTEL CORP,Intel Corp,4/24/13,1298045,0.026,9677,25.41
TAUBMAN PAUL JEFFREY,Taubman Paul Jeffrey,Paul,Jeffrey,Taubman,,Paul Jeffrey Taubman ,MS UN Equity,MORGAN STANLEY,Morgan Stanley,1/20/12,1281498,0.066,#N/A N/A,31.63
SCHULER JACK W,Schuler Jack W,Jack,W,Schuler,,Jack W Schuler ,SRCL UW Equity,STERICYCLE INC,Stericycle Inc,12/31/13,1267249,1.479,-900,115.49
COOK IAN M,Cook Ian M,Ian,M,Cook,,Ian M Cook ,CL UN Equity,COLGATE-PALMOLIV,Colgate-Palmoliv,12/5/13,1260553,0.136,-15085,63.72
CALHOUN DAVID L,Calhoun David L,David,L,Calhoun,,David L Calhoun ,NLSN UN Equity,NIELSEN HOLDINGS,Nielsen Holdings,9/25/13,1250000,0.33,#N/A N/A,45.03
PAPA MARK G,Papa Mark G,Mark,G,Papa,,Mark G Papa ,EOG UN Equity,EOG RESOURCES,Eog Resources,12/13/13,1247862,0.457,-1736,167.39
ANDERSON RICHARD H,Anderson Richard H,Richard,H,Anderson,,Richard H Anderson ,DAL UN Equity,DELTA AIR LI,Delta Air Li,12/26/13,1244688,0.145,-25000,29.53
BROCK JOHN F,Brock John F,John,F,Brock,,John F Brock ,CCE UN Equity,COCA-COLA ENTER,Coca-Cola Enter,12/31/13,1237864,0.477,#N/A N/A,44.13
SIMMONS HARRIS H,Simmons Harris H,Harris,H,Simmons,,Harris H Simmons ,ZION UW Equity,ZIONS BANCORP,Zions Bancorp,12/24/13,1218104,0.66,#N/A N/A,29.83
BREEN EDWARD D,Breen Edward D,Edward,D,Breen,,Edward D Breen ,TYC UN Equity,TYCO INTL LTD,Tyco Intl Ltd,11/20/13,1200602,0.258,18855,41.36
IGER ROBERT A,Iger Robert A,Robert,A,Iger,,Robert A Iger ,DIS UN Equity,WALT DISNEY CO,Walt Disney Co,5/14/13,1178558,0.067,#N/A N/A,75.35
HENDRICKS JOHN S,Hendricks John S,John,S,Hendricks,,John S Hendricks ,DISCA UW Equity,DISCOVERY COMM-A,Discovery Comm-A,12/27/13,1178230,0.804,#N/A N/A,85.1
DAUMAN PHILIPPE P,Dauman Philippe P,Philippe,P,Dauman,,Philippe P Dauman ,VIAB UW Equity,VIACOM INC-B,Viacom Inc-B,11/13/13,1174134,0.297,124946,86.34
FINK LAURENCE DOUGL,Fink Laurence Dougl,Laurence,Douglas,Fink,,Laurence Douglas Fink ,BLK UN Equity,BLACKROCK INC,Blackrock Inc,10/24/13,1171323,0.701,-14715,317.75
MANGANELLO TIMOTHY M,Manganello Timothy M,Timothy,M,Manganello,,Timothy M Manganello ,BWA UN Equity,BORGWARNER INC,Borgwarner Inc,2/12/13,1157066,0.508,323034,56.75
BROWN FRAZIER OWSLEY,Brown Frazier Owsley,Frazier,Owsley,Brown,,Frazier Owsley Brown ,BF/B UN Equity,BROWN-FORMAN -B,Brown-Forman -B,7/16/12,1150623,0.894,1000000,74.02
DOLAN JAMES L,Dolan James L,James,L,Dolan,,James L Dolan ,CVC UN Equity,CABLEVISION SY-A,Cablevision Sy-A,3/10/13,1146403,0.537,-60491,16.84
READ IAN C,Read Ian C,Ian,C,Read,,Ian C Read ,PFE UN Equity,PFIZER INC,Pfizer Inc,10/28/13,1144979,0.018,#N/A N/A,30.849
LEWIS EARL R,Lewis Earl R,Earl,R,Lewis,,Earl R Lewis ,FLIR UW Equity,FLIR SYSTEMS,Flir Systems,4/30/13,1140645,0.805,#N/A N/A,33.37
KLESSE WILLIAM R,Klesse William R,William,R,Klesse,,William R Klesse ,VLO UN Equity,VALERO ENERGY,Valero Energy,11/8/13,1135589,0.21,#N/A N/A,50.71
GALLOGLY JAMES LAWRENCE,Gallogly James Lawrence,James,Lawrence,Gallogly,,James Lawrence Gallogly ,LYB UN Equity,LYONDELLBASELL-A,Lyondellbasell-A,12/31/13,1120106,0.203,#N/A N/A,79.25
GERBER MURRY S,Gerber Murry S,Murry,S,Gerber,,Murry S Gerber ,EQT UN Equity,EQT CORP,Eqt Corp,11/17/11,1115832,0.74,-38690,87.94
WARD MICHAEL J,Ward Michael J,Michael,J,Ward,,Michael J Ward ,CSX UN Equity,CSX CORP,Csx Corp,8/8/13,1113038,0.11,-40000,28.07
DILLON DAVID B,Dillon David B,David,B,Dillon,,David B Dillon ,KR UN Equity,KROGER CO,Kroger Co,12/10/13,1109524,0.215,-5000,39.19
WIRTA RAYMOND,Wirta Raymond,Raymond,,Wirta,,Raymond  Wirta ,CBG UN Equity,CBRE GROUP INC-A,Cbre Group Inc-A,7/30/13,1074696,0.324,3151,26.02
YANCOPOULOS GEORGE D,Yancopoulos George D,George,D,Yancopoulos,,George D Yancopoulos ,REGN UW Equity,REGENERON PHARM,Regeneron Pharm,12/19/13,1073934,1.103,4705,274.98
HAFFNER DAVID S,Haffner David S,David,S,Haffner,,David S Haffner ,LEG UN Equity,LEGGETT & PLATT,Leggett & Platt,1/2/14,1064365,0.754,-10178,30.51
GREENBERG EVAN G,Greenberg Evan G,Evan,G,Greenberg,,Evan G Greenberg ,ACE UN Equity,ACE LTD,Ace Ltd,12/11/13,1055370,0.31,-994,99.36
ROGERS MICHAEL F,Rogers Michael F,Michael,F,Rogers,,Michael F Rogers ,STT UN Equity,STATE ST CORP,State St Corp,8/28/13,1054927,0.24,-274897,74.86
ROGERS JAMES E,Rogers James E,James,E,Rogers,,James E Rogers ,DUK UN Equity,DUKE ENERGY CORP,Duke Energy Corp,12/31/13,1044246,0.148,-3398,67.68
ROSE PETER J,Rose Peter J,Peter,J,Rose,,Peter J Rose ,EXPD UW Equity,EXPEDITORS INTL,Expeditors Intl,11/14/13,1037766,0.505,#N/A N/A,42.92
MACKEY JOHN P,Mackey John P,John,P,Mackey,,John P Mackey ,WFM UW Equity,WHOLE FOODS MKT,Whole Foods Mkt,11/8/13,1035333,0.278,#N/A N/A,54.41
BELL LEONARD,Bell Leonard,Leonard,,Bell,,Leonard  Bell ,ALXN UW Equity,ALEXION PHARM,Alexion Pharm,12/19/13,1031957,0.526,5664,133.91
SKAGGS JR ROBERT C,Skaggs Jr Robert C,Robert,C,Skaggs,Jr,Robert C Skaggs Jr,NI UN Equity,NISOURCE INC,Nisource Inc,8/27/13,1029946,0.329,191,33.02
HASSELL GERALD L,Hassell Gerald L,Gerald,L,Hassell,,Gerald L Hassell ,BK UN Equity,BANK NY MELLON,Bank Ny Mellon,11/11/13,1029820,0.09,-48957,34.7
ERIKSON SHELDON R,Erikson Sheldon R,Sheldon,R,Erikson,,Sheldon R Erikson ,CAM UN Equity,CAMERON INTERNAT,Cameron Internat,5/10/13,1027095,0.432,6561,58.64
MARTIRE FRANK R,Martire Frank R,Frank,R,Martire,,Frank R Martire ,FIS UN Equity,FIDELITY NATIONA,Fidelity Nationa,12/3/13,1011033,0.346,-2377,53.09
HASTINGS REED,Hastings Reed,Reed,,Hastings,,Reed  Hastings ,NFLX UW Equity,NETFLIX INC,Netflix Inc,12/26/13,1002215,1.691,#N/A N/A,345.35
KLEINFELD KLAUN,Kleinfeld KlaUN,KlaUN,,Kleinfeld,,KlaUN  Kleinfeld ,AA UN Equity,ALCOA INC,Alcoa Inc,1/28/13,998918,0.093,-201574,10.61
JELLISON BRIAN D,Jellison Brian D,Brian,D,Jellison,,Brian D Jellison ,ROP UN Equity,ROPER INDS,Roper Inds,11/30/13,993800,1.001,-62925,137.77
MCCLANAHAN DAVID M,Mcclanahan David M,David,M,Mcclanahan,,David M Mcclanahan ,CNP UN Equity,CENTERPOINT ENER,Centerpoint Ener,12/3/13,987679,0.23,#N/A N/A,22.88
LORD ALBERT L,Lord Albert L,Albert,L,Lord,,Albert L Lord ,SLM UW Equity,SLM CORP,Slm Corp,5/1/13,984633,0.226,#N/A N/A,26.25
ZUCKERMAN MORTIMER BENJA,Zuckerman Mortimer Benja,Mortimer,Benja,Zuckerman,,Mortimer Benja Zuckerman ,BXP UN Equity,BOSTON PROPERTIE,Boston Propertie,2/1/13,975112,0.638,#N/A N/A,103.18
CAZALOT JR CLARENCE P,Cazalot Jr Clarence P,Clarence,P,Cazalot,Jr,Clarence P Cazalot Jr,MRO UN Equity,MARATHON OIL,Marathon Oil,1/31/13,969349,0.139,#N/A N/A,34.49
MEDINA-MORA MANUEL,Medina-Mora Manuel,Manuel,,Medina-Mora,,Manuel  Medina-Mora ,C UN Equity,CITIGROUP INC,Citigroup Inc,2/19/13,967876,0.032,73995,54.98
COLSON JOHN R,Colson John R,John,R,Colson,,John R Colson ,PWR UN Equity,QUANTA SERVICES,Quanta Services,5/23/13,966798,0.455,-66771,31.4
FETTER TREVOR,Fetter Trevor,Trevor,,Fetter,,Trevor  Fetter ,THC UN Equity,TENET HEALTHCARE,Tenet Healthcare,3/4/13,966767,0.974,-138255,44.69
FARRELL II THOMAS F,Farrell Ii Thomas F,Thomas,F,Farrell,,Thomas F Farrell ,D UN Equity,DOMINION RES/VA,Dominion Res/Va,12/20/13,965584,0.166,1008,64.82
SOLOMON HOWARD,Solomon Howard,Howard,,Solomon,,Howard  Solomon ,FRX UN Equity,FOREST LABS INC,Forest Labs Inc,12/5/13,964881,0.358,-9301,67.95
HART PATTI S,Hart Patti S,Patti,S,Hart,,Patti S Hart ,IGT UN Equity,INTL GAME TECH,Intl Game Tech,12/16/13,949647,0.364,104515,17.57
STEPHENSON RANDALL L,Stephenson Randall L,Randall,L,Stephenson,,Randall L Stephenson ,T UN Equity,AT&T INC,At&T Inc,12/31/13,947650,0.018,#N/A N/A,34.345
THOMPSON JOHN W,Thompson John W,John,W,Thompson,,John W Thompson ,SYMC UW Equity,SYMANTEC CORP,Symantec Corp,7/11/11,943469,0.136,-10000,23.305
COURY ROBERT J,Coury Robert J,Robert,J,Coury,,Robert J Coury ,MYL UW Equity,MYLAN INC,Mylan Inc,12/11/13,937946,0.245,#N/A N/A,44.86
WASHKEWICZ DONALD E,Washkewicz Donald E,Donald,E,Washkewicz,,Donald E Washkewicz ,PH UN Equity,PARKER HANNIFIN,Parker Hannifin,12/9/13,935719,0.627,#N/A N/A,127.25
STUMPF JOHN G,Stumpf John G,John,G,Stumpf,,John G Stumpf ,WFC UN Equity,WELLS FARGO & CO,Wells Fargo & Co,10/30/13,934945,0.018,-210311,45.63
LIVERIS ANDREW N,Liveris Andrew N,Andrew,N,Liveris,,Andrew N Liveris ,DOW UN Equity,DOW CHEMICAL CO,Dow Chemical Co,12/18/13,906546,0.075,#N/A N/A,43.24
WREN JOHN D,Wren John D,John,D,Wren,,John D Wren ,OMC UN Equity,OMNICOM GROUP,Omnicom Group,4/8/13,905235,0.352,-1356,71.95
PAZ GEORGE,Paz George,George,,Paz,,George  Paz ,ESRX UW Equity,EXPRESS SCRIPTS,Express Scripts,11/25/13,897885,0.111,150492,70.06
YOUNG JAMES R,Young James R,James,R,Young,,James R Young ,UNP UN Equity,UNION PAC CORP,Union Pac Corp,5/22/13,888743,0.193,-4760,167.08
FLAHERTY III JAMES F,Flaherty Iii James F,James,F,Flaherty,,James F Flaherty ,HCP UN Equity,HCP INC,Hcp Inc,10/2/13,861753,0.189,-184375,37.05
ANDERSON BRUCE K,Anderson Bruce K,Bruce,K,Anderson,,Bruce K Anderson ,ADS UN Equity,ALLIANCE DATA,Alliance Data,8/2/13,854944,1.755,-711,257.78
CHENAULT KENNETH I,Chenault Kenneth I,Kenneth,I,Chenault,,Kenneth I Chenault ,AXP UN Equity,AMERICAN EXPRESS,American Express,5/30/13,851667,0.08,-62974,89.34
BECTON JR HENRY P,Becton Jr Henry P,Henry,P,Becton,Jr,Henry P Becton Jr,BDX UN Equity,BECTON DICKINSON,Becton Dickinson,11/6/13,845640,0.436,#N/A N/A,111.09
NIBLOCK ROBERT A,Niblock Robert A,Robert,A,Niblock,,Robert A Niblock ,LOW UN Equity,LOWE'S COS INC,Lowe'S Cos Inc,9/16/13,842696,0.081,91480,48.51
CRANE DAVID W,Crane David W,David,W,Crane,,David W Crane ,NRG UN Equity,NRG ENERGY,Nrg Energy,12/5/13,830300,0.257,214136,28.51
COORS PETER H,Coors Peter H,Peter,H,Coors,,Peter H Coors ,TAP UN Equity,MOLSON COORS-B,Molson Coors-B,12/2/13,806520,0.506,#N/A N/A,55.37
CHABRAJA NICHOLAS D,Chabraja Nicholas D,Nicholas,D,Chabraja,,Nicholas D Chabraja ,GD UN Equity,GENERAL DYNAMICS,General Dynamics,1/2/14,802712,0.228,-138,94.97
POST III GLEN F,Post Iii Glen F,Glen,F,Post,,Glen F Post ,CTL UN Equity,CENTURYLINK INC,Centurylink Inc,5/31/13,795927,0.135,-8214,31.24
CASE GREGORY C,Case Gregory C,Gregory,C,Case,,Gregory C Case ,AON UN Equity,AON PLC,Aon Plc,2/26/13,794240,0.264,4548,81.58
COTE DAVID M,Cote David M,David,M,Cote,,David M Cote ,HON UN Equity,HONEYWELL INTL,Honeywell Intl,11/4/13,791861,0.101,#N/A N/A,90.49
WARNOCK JOHN E,Warnock John E,John,E,Warnock,,John E Warnock ,ADBE UW Equity,ADOBE SYS INC,Adobe Sys Inc,12/16/13,784211,0.157,-20000,59.12
KABAT KEVIN T,Kabat Kevin T,Kevin,T,Kabat,,Kevin T Kabat ,FITB UW Equity,FIFTH THIRD BANC,Fifth Third Banc,11/19/13,767598,0.087,-79239,21.1
HAVERTY MICHAEL R,Haverty Michael R,Michael,R,Haverty,,Michael R Haverty ,KSU UN Equity,KANSAS CITY SOUT,Kansas City Sout,11/5/13,759893,0.69,#N/A N/A,116.52
ROTH MICHAEL I,Roth Michael I,Michael,I,Roth,,Michael I Roth ,IPG UN Equity,INTERPUBLIC GRP,Interpublic Grp,8/26/13,759371,0.175,-194965,17.46
TOMLINSON PHILIP W,Tomlinson Philip W,Philip,W,Tomlinson,,Philip W Tomlinson ,TSS UN Equity,TOTAL SYS SERVS,Total Sys Servs,11/8/13,758939,0.4,#N/A N/A,32.87
SHEFFIELD SCOTT D,Sheffield Scott D,Scott,D,Sheffield,,Scott D Sheffield ,PXD UN Equity,PIONEER NATURAL,Pioneer Natural,1/2/14,744473,0.537,24076,175.62
MORELAND W BENJAMIN,Moreland W Benjamin,W,Benjamin,Moreland,,W Benjamin Moreland ,CCI UN Equity,CROWN CASTLE INT,Crown Castle Int,12/11/13,736537,0.22,-2000,72.42
LUNDGREN JOHN F,Lundgren John F,John,F,Lundgren,,John F Lundgren ,SWK UN Equity,STANLEY BLACK &,Stanley Black &,12/9/13,735497,0.416,-9123,80.35
HOOVER R DAVID,Hoover R David,R,David,Hoover,,R David Hoover ,BLL UN Equity,BALL CORP,Ball Corp,12/16/13,731436,0.506,-11426,51.87
COYNE JOHN F,Coyne John F,John,F,Coyne,,John F Coyne ,WDC UW Equity,WESTERN DIGITAL,Western Digital,12/19/12,729603,0.309,-108095,87.08
MERLO LARRY J,Merlo Larry J,Larry,J,Merlo,,Larry J Merlo ,CVS UN Equity,CVS CAREMARK COR,Cvs Caremark Cor,1/2/14,728840,0.061,#N/A N/A,69.74
DAANE JOHN P,Daane John P,John,P,Daane,,John P Daane ,ALTR UW Equity,ALTERA CORP,Altera Corp,7/31/13,725762,0.226,63117,31.98
RANKIN THOMPSON L,Rankin Thompson L,Thompson,L,Rankin,,Thompson L Rankin ,TE UN Equity,TECO ENERGY INC,Teco Energy Inc,5/1/13,723306,0.333,3000,16.9
HARVEY J BRETT,Harvey J Brett,J,Brett,Harvey,,J Brett Harvey ,CNX UN Equity,CONSOL ENERGY,Consol Energy,12/16/13,718411,0.314,-5405,37.38
PROBST III LAWRENCE F,Probst Iii Lawrence F,Lawrence,F,Probst,,Lawrence F Probst ,EA UW Equity,ELECTRONIC ARTS,Electronic Arts,7/26/13,718071,0.232,10000,23.28
STROUCKEN ALBERT P L,Stroucken Albert P L,Albert,P L,Stroucken,,Albert P L Stroucken ,OI UN Equity,OWENS-ILLINOIS,Owens-Illinois,3/7/13,711330,0.431,81796,35.34
GREIFELD ROBERT,Greifeld Robert,Robert,,Greifeld,,Robert  Greifeld ,NDAQ UW Equity,NASDAQ OMX GROUP,Nasdaq Omx Group,5/20/13,709383,0.423,200000,40.38
WEEKS WENDELL P,Weeks Wendell P,Wendell,P,Weeks,,Wendell P Weeks ,GLW UN Equity,CORNING INC,Corning Inc,11/22/13,704169,0.049,#N/A N/A,17.9
SANDS ROBERT S,Sands Robert S,Robert,S,Sands,,Robert S Sands ,STZ UN Equity,CONSTELLATION-A,Constellation-A,7/10/13,703954,0.424,148991,75.21
BLAKE FRANCIS STANTO,Blake Francis Stanto,Francis,Stanto,Blake,,Francis Stanto Blake ,HD UN Equity,HOME DEPOT INC,Home Depot Inc,11/21/13,701160,0.05,#N/A N/A,81.79
LUNDGREN TERRY J,Lundgren Terry J,Terry,J,Lundgren,,Terry J Lundgren ,M UN Equity,MACY'S INC,Macy'S Inc,11/15/13,700433,0.19,-61185,51.73
HAY III LEWIS,Hay Iii Lewis,Iii,Lewis,Hay,,Iii Lewis Hay ,NEE UN Equity,NEXTERA ENERGY,Nextera Energy,3/15/13,694839,0.16,-59949,85.27
ROELL STEPHEN A,Roell Stephen A,Stephen,A,Roell,,Stephen A Roell ,JCI UN Equity,JOHNSON CONTROLS,Johnson Controls,11/2/13,693212,0.101,#N/A N/A,51.2
LESAR DAVID J,Lesar David J,David,J,Lesar,,David J Lesar ,HAL UN Equity,HALLIBURTON CO,Halliburton Co,12/27/13,692504,0.082,-1000,49.39
KING KELLY S,King Kelly S,Kelly,S,King,,Kelly S King ,BBT UN Equity,BB&T CORP,Bb&T Corp,10/23/13,688634,0.098,#N/A N/A,38
LUKE JR JOHN A,Luke Jr John A,John,A,Luke,Jr,John A Luke Jr,MWV UN Equity,MEADWESTVACO COR,Meadwestvaco Cor,11/12/13,687853,0.387,14516,36.46
WISEMAN ERIC C,Wiseman Eric C,Eric,C,Wiseman,,Eric C Wiseman ,VFC UN Equity,VF CORP,Vf Corp,10/28/13,675616,0.153,#N/A N/A,61.46
MCGREGOR SCOTT ALAN,Mcgregor Scott Alan,Scott,Alan,Mcgregor,,Scott Alan Mcgregor ,BRCM UW Equity,BROADCOM CORP-A,Broadcom Corp-A,11/5/13,667515,0.129,#N/A N/A,29.205
HALL JR O B GRAYSON,Hall Jr O B Grayson,OB,Grayson,Hall,Jr,OB Grayson Hall Jr,RF UN Equity,REGIONS FINANCIA,Regions Financia,4/1/13,662673,0.048,2153,10.2
BOGER JOSHUA S,Boger Joshua S,Joshua,S,Boger,,Joshua S Boger ,VRTX UW Equity,VERTEX PHARM,Vertex Pharm,12/4/13,652181,0.279,#N/A N/A,74.77
SWANSON WILLIAM H,Swanson William H,William,H,Swanson,,William H Swanson ,RTN UN Equity,RAYTHEON CO,Raytheon Co,12/3/13,651309,0.204,-2255,88.4
SCHULER JACK W,Schuler Jack W,Jack,W,Schuler,,Jack W Schuler ,MDT UN Equity,MEDTRONIC INC,Medtronic Inc,5/10/13,644658,0.065,-34230,60.63
GIBSON JOHN W,Gibson John W,John,W,Gibson,,John W Gibson ,OKE UN Equity,ONEOK INC,Oneok Inc,12/31/13,641537,0.311,2,62.71
STEINHAFEL GREGG W,Steinhafel Gregg W,Gregg,W,Steinhafel,,Gregg W Steinhafel ,TGT UN Equity,TARGET CORP,Target Corp,12/4/13,640599,0.101,#N/A N/A,62.58
RODKIN GARY M,Rodkin Gary M,Gary,M,Rodkin,,Gary M Rodkin ,CAG UN Equity,CONAGRA FOODS,Conagra Foods,7/19/13,639765,0.152,39029,33.65
LECHLEITER JOHN C,Lechleiter John C,John,C,Lechleiter,,John C Lechleiter ,LLY UN Equity,ELI LILLY & CO,Eli Lilly & Co,2/1/13,632593,0.056,70189,50.62
NOOYI INDRA K,Nooyi Indra K,Indra,K,Nooyi,,Indra K Nooyi ,PEP UN Equity,PEPSICO INC,Pepsico Inc,4/12/13,626412,0.041,#N/A N/A,83.09
STEINER DAVID P,Steiner David P,David,P,Steiner,,David P Steiner ,WM UN Equity,WASTE MANAGEMENT,Waste Management,5/15/13,623267,0.133,17084,44.03
PARKER MARK G,Parker Mark G,Mark,G,Parker,,Mark G Parker ,NKE UN Equity,NIKE INC -CL B,Nike Inc -Cl B,10/21/13,619254,0.087,-24272,77.24
RIGGIO LEONARD S,Riggio Leonard S,Leonard,S,Riggio,,Leonard S Riggio ,GME UN Equity,GAMESTOP CORP-A,Gamestop Corp-A,2/3/11,618024,0.534,#N/A N/A,45.01
DIMICCO DANIEL R,Dimicco Daniel R,Daniel,R,Dimicco,,Daniel R Dimicco ,NUE UN Equity,NUCOR CORP,Nucor Corp,6/1/13,607883,0.191,#N/A N/A,52.85
O'NEAL RODNEY,O'Neal Rodney,Rodney,,O'Neal,,Rodney  O'Neal ,DLPH UN Equity,DELPHI AUTOMOTIV,Delphi Automotiv,5/30/13,605828,0.197,#N/A N/A,60.62
BROWN GREGORY Q,Brown Gregory Q,Gregory,Q,Brown,,Gregory Q Brown ,MSI UN Equity,MOTOROLA SOLUTIO,Motorola Solutio,5/13/13,603220,0.233,#N/A N/A,66.15
ALEXANDER ANTHONY J,Alexander Anthony J,Anthony,J,Alexander,,Anthony J Alexander ,FE UN Equity,FIRSTENERGY CORP,Firstenergy Corp,3/8/13,601900,0.144,#N/A N/A,31.69
ROHR JAMES E,Rohr James E,James,E,Rohr,,James E Rohr ,PNC UN Equity,PNC FINANCIAL SE,Pnc Financial Se,12/19/13,594550,0.112,#N/A N/A,78.17
HAMMERGREN JOHN H,Hammergren John H,John,H,Hammergren,,John H Hammergren ,MCK UN Equity,MCKESSON CORP,Mckesson Corp,5/29/13,594344,0.259,#N/A N/A,171.16
BABB JR RALPH W,Babb Jr Ralph W,Ralph,W,Babb,Jr,Ralph W Babb Jr,CMA UN Equity,COMERICA INC,Comerica Inc,1/22/13,592466,0.324,#N/A N/A,47.6
HOLMES STEPHEN P,Holmes Stephen P,Stephen,P,Holmes,,Stephen P Holmes ,WYN UN Equity,WYNDHAM WORLDWID,Wyndham Worldwid,2/28/13,587195,0.451,#N/A N/A,72
ROBERTSON JULIE J,Robertson Julie J,Julie,J,Robertson,,Julie J Robertson ,NE UN Equity,NOBLE CORP PLC,Noble Corp Plc,12/2/13,567097,0.224,-5989,36.02
CUTLER ALEXANDER M,Cutler Alexander M,Alexander,M,Cutler,,Alexander M Cutler ,ETN UN Equity,EATON CORP PLC,Eaton Corp Plc,7/23/13,560090,0.118,-20714,75.14
PALMISANO SAMUEL J,Palmisano Samuel J,Samuel,J,Palmisano,,Samuel J Palmisano ,IBM UN Equity,IBM,Ibm,8/16/12,546756,0.05,#N/A N/A,187.81
WATJEN THOMAS R,Watjen Thomas R,Thomas,R,Watjen,,Thomas R Watjen ,UNM UN Equity,UNUM GROUP,Unum Group,11/8/13,542806,0.208,-7808,34.67
HERZAN ALEXANDRA A,Herzan Alexandra A,Alexandra,A,Herzan,,Alexandra A Herzan ,IFF UN Equity,INTL FLVR & FRAG,Intl Flvr & Frag,2/22/13,534049,0.655,-5567,85.29
FISHMAN JAY S,Fishman Jay S,Jay,S,Fishman,,Jay S Fishman ,TRV UN Equity,TRAVELERS COS IN,Travelers Cos In,8/13/13,531426,0.146,-14991,87.4
FOLLIARD THOMAS J,Folliard Thomas J,Thomas,J,Folliard,,Thomas J Folliard ,KMX UN Equity,CARMAX INC,Carmax Inc,4/6/13,530810,0.238,#N/A N/A,44.97
POLK MICHAEL B,Polk Michael B,Michael,B,Polk,,Michael B Polk ,NWL UN Equity,NEWELL RUBBERMAI,Newell Rubbermai,7/18/13,529082,0.184,366747,32.25
GRANT HUGH,Grant Hugh,Hugh,,Grant,,Hugh  Grant ,MON UN Equity,MONSANTO CO,Monsanto Co,10/21/13,528663,0.101,#N/A N/A,116.11
HUGIN ROBERT J,Hugin Robert J,Robert,J,Hugin,,Robert J Hugin ,CELG UW Equity,CELGENE CORP,Celgene Corp,6/16/13,528508,0.128,3130,167.7
BERTOLINI MARK T,Bertolini Mark T,Mark,T,Bertolini,,Mark T Bertolini ,AET UN Equity,AETNA INC,Aetna Inc,12/30/13,526938,0.143,#N/A N/A,68.91
FULTON DANIEL S,Fulton Daniel S,Daniel,S,Fulton,,Daniel S Fulton ,WY UN Equity,WEYERHAEUNER CO,WeyerhaeUNer Co,2/13/13,526789,0.09,55407,30.78
FALK THOMAS J,Falk Thomas J,Thomas,J,Falk,,Thomas J Falk ,KMB UN Equity,KIMBERLY-CLARK,Kimberly-Clark,11/19/13,522625,0.136,174,103.64
FRIEL ROBERT F,Friel Robert F,Robert,F,Friel,,Robert F Friel ,PKI UN Equity,PERKINELMER INC,Perkinelmer Inc,11/14/13,516849,0.46,#N/A N/A,42.5
LUCIER GREGORY T,Lucier Gregory T,Gregory,T,Lucier,,Gregory T Lucier ,LIFE UW Equity,LIFE TECHNOLOGIE,Life Technologie,4/2/13,515939,0.299,28945,75.855
RUNSELL JOHN G,RUNsell John G,John,G,RUNsell,,John G RUNsell ,CMS UN Equity,CMS ENERGY CORP,Cms Energy Corp,9/3/13,514054,0.192,3626,26.12
TALWALKAR ABHIJIT Y,Talwalkar Abhijit Y,Abhijit,Y,Talwalkar,,Abhijit Y Talwalkar ,LSI UW Equity,LSI CORP,Lsi Corp,4/1/13,512651,0.094,-117185,11.005
