Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
COOK SCOTT D,Cook Scott D,Scott,D,Cook,,Scott D Cook ,INTU UW Equity,INTUIT INC,Intuit Inc,12/31/13,13185368,4.629,-16500,76.345
SANDBERG SHERYL KARA,Sandberg Sheryl Kara,Sheryl,Kara,Sandberg,,Sheryl Kara Sandberg ,FB UW Equity,FACEBOOK INC-A,Facebook Inc-A,12/19/13,12559422,0.648,-283334,58.17
HASSENFELD ALAN GEOFFREY,Hassenfeld Alan Geoffrey,Alan,Geoffrey,Hassenfeld,,Alan Geoffrey Hassenfeld ,HAS UW Equity,HASBRO INC,Hasbro Inc,11/11/13,12489743,9.626,#N/A N/A,53.46
KIERLIN ROBERT A,Kierlin Robert A,Robert,A,Kierlin,,Robert A Kierlin ,FAST UW Equity,FASTENAL CO,Fastenal Co,11/5/13,12155380,4.096,-200000,45.56
ALLEN III HERBERT ANTHON,Allen Iii Herbert Anthon,Herbert,A,Allen,,Herbert A Allen ,KO UN Equity,COCA-COLA CO/THE,Coca-Cola Co/The,12/16/13,12000000,0.272,#N/A N/A,40.08
CARTER MOLLIE HALE,Carter Mollie Hale,Mollie,Hale,Carter,,Mollie Hale Carter ,ADM UN Equity,ARCHER-DANIELS,Archer-Daniels,6/14/13,11465023,1.742,#N/A N/A,42.5
WALTON JIM C,Walton Jim C,Jim,C,Walton,,Jim C Walton ,WMT UN Equity,WAL-MART STORES,Wal-Mart Stores,6/7/13,10501672,0.325,#N/A N/A,77.89
WYNN STEPHEN A,Wynn Stephen A,Stephen,A,Wynn,,Stephen A Wynn ,WYNN UW Equity,WYNN RESORTS LTD,Wynn Resorts Ltd,3/1/13,10026708,9.912,#N/A N/A,203.11
HESS JOHN B,Hess John B,John,B,Hess,,John B Hess ,HES UN Equity,HESS CORP,Hess Corp,12/31/12,9896586,2.932,#N/A N/A,80.87
COOPER MILTON,Cooper Milton,Milton,,Cooper,,Milton  Cooper ,KIM UN Equity,KIMCO REALTY,Kimco Realty,8/6/13,9874315,2.41,-5622,20.1
LEVINE HOWARD R,Levine Howard R,Howard,R,Levine,,Howard R Levine ,FDO UN Equity,FAMILY DOLLAR ST,Family Dollar St,10/15/13,9307363,8.182,28227,65.48
SMITH JR DAVID H B,Smith Jr David H B,David,H B,Smith,Jr,David H B Smith Jr,ITW UN Equity,ILLINOIS TOOL WO,Illinois Tool Wo,5/3/13,9183192,2.069,1597,82.34
KRIENS SCOTT G,Kriens Scott G,Scott,G,Kriens,,Scott G Kriens ,JNPR UN Equity,JUNIPER NETWORKS,Juniper Networks,5/22/13,8684218,1.72,5531,22.87
MARRIOTT RICHARD EDWIN,Marriott Richard Edwin,Richard,Edwin,Marriott,,Richard Edwin Marriott ,HST UN Equity,HOST HOTELS & RE,Host Hotels & Re,12/31/12,8564458,1.132,-114951,19.19
BUENO EDSON DE GODOY,Bueno Edson De Godoy,Edson,de Godoy,Bueno,,Edson de Godoy Bueno ,UNH UN Equity,UNITEDHEALTH GRP,Unitedhealth Grp,12/21/12,8416905,0.836,#N/A N/A,75.91
ISENBERG EUGENE M,Isenberg Eugene M,Eugene,M,Isenberg,,Eugene M Isenberg ,NBR UN Equity,NABORS INDS LTD,Nabors Inds Ltd,1/20/12,8082484,2.738,500473,16.7
IRANI RAY R,Irani Ray R,Ray,R,Irani,,Ray R Irani ,OXY UN Equity,OCCIDENTAL PETE,Occidental Pete,12/21/12,7929622,0.984,-49245,94.88
ROBERTS BRIAN L,Roberts Brian L,Brian,L,Roberts,,Brian L Roberts ,CMCSA UW Equity,COMCAST CORP-A,Comcast Corp-A,10/23/13,7926206,0.371,#N/A N/A,52.9
RYAN VINCENT J,Ryan Vincent J,Vincent,J,Ryan,,Vincent J Ryan ,IRM UN Equity,IRON MOUNTAIN,Iron Mountain,6/14/13,7013021,3.668,9090,28.8
MCCAUNLAND PETER,MccaUNland Peter,Peter,,MccaUNland,,Peter  MccaUNland ,ARG UN Equity,AIRGAS INC,Airgas Inc,3/31/13,6674401,9.05,#N/A N/A,109.21
FLORES JAMES C,Flores James C,James,C,Flores,,James C Flores ,FCX UN Equity,FREEPORT-MCMORAN,Freeport-Mcmoran,10/25/13,6617121,0.637,1000000,36.45
KELLOGG WILLIAM S,Kellogg William S,William,S,Kellogg,,William S Kellogg ,KSS UN Equity,KOHLS CORP,Kohls Corp,3/27/13,6363673,2.972,7,54.76
